instant,dteday,season,year,month,hours,holiday,week,situation_of_weather,temp,atemp,humidity,speed_of_wind,casual,registered,count,category_days
29,2011-01-02,Spring,2011,January,4,0,Sunday,Mist_Cloudy,0.46,0.4545,0.94,0.194,2,1,3,weekend
30,2011-01-02,Spring,2011,January,6,0,Sunday,Light_Rain,0.42,0.4242,0.77,0.2985,0,2,2,weekend
31,2011-01-02,Spring,2011,January,7,0,Sunday,Mist_Cloudy,0.4,0.4091,0.76,0.194,0,1,1,weekend
32,2011-01-02,Spring,2011,January,8,0,Sunday,Light_Rain,0.4,0.4091,0.71,0.2239,0,8,8,weekend
33,2011-01-02,Spring,2011,January,9,0,Sunday,Mist_Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,weekend
34,2011-01-02,Spring,2011,January,10,0,Sunday,Mist_Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,weekend
35,2011-01-02,Spring,2011,January,11,0,Sunday,Mist_Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,weekend
36,2011-01-02,Spring,2011,January,12,0,Sunday,Mist_Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,weekend
37,2011-01-02,Spring,2011,January,13,0,Sunday,Mist_Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,weekend
38,2011-01-02,Spring,2011,January,14,0,Sunday,Light_Rain,0.36,0.3485,0.76,0.194,4,55,59,weekend
39,2011-01-02,Spring,2011,January,15,0,Sunday,Light_Rain,0.34,0.3333,0.81,0.1642,19,55,74,weekend
40,2011-01-02,Spring,2011,January,16,0,Sunday,Light_Rain,0.34,0.3333,0.71,0.1642,9,67,76,weekend
41,2011-01-02,Spring,2011,January,17,0,Sunday,Clear,0.34,0.3333,0.57,0.194,7,58,65,weekend
42,2011-01-02,Spring,2011,January,18,0,Sunday,Mist_Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,weekend
43,2011-01-02,Spring,2011,January,19,0,Sunday,Clear,0.32,0.2879,0.42,0.4478,1,29,30,weekend
44,2011-01-02,Spring,2011,January,20,0,Sunday,Clear,0.3,0.2727,0.39,0.3582,5,17,22,weekend
45,2011-01-02,Spring,2011,January,21,0,Sunday,Clear,0.26,0.2273,0.44,0.3284,11,20,31,weekend
46,2011-01-02,Spring,2011,January,22,0,Sunday,Clear,0.24,0.2121,0.44,0.2985,0,9,9,weekend
47,2011-01-02,Spring,2011,January,23,0,Sunday,Clear,0.22,0.2273,0.47,0.1642,0,8,8,weekend
48,2011-01-03,Spring,2011,January,0,0,Monday,Clear,0.22,0.197,0.44,0.3582,0,5,5,weekdays
49,2011-01-03,Spring,2011,January,1,0,Monday,Clear,0.2,0.1667,0.44,0.4179,0,2,2,weekdays
50,2011-01-03,Spring,2011,January,4,0,Monday,Clear,0.16,0.1364,0.47,0.3881,0,1,1,weekdays
51,2011-01-03,Spring,2011,January,5,0,Monday,Clear,0.16,0.1364,0.47,0.2836,0,3,3,weekdays
52,2011-01-03,Spring,2011,January,6,0,Monday,Clear,0.14,0.1061,0.5,0.3881,0,30,30,weekdays
53,2011-01-03,Spring,2011,January,7,0,Monday,Clear,0.14,0.1364,0.5,0.194,1,63,64,weekdays
54,2011-01-03,Spring,2011,January,8,0,Monday,Clear,0.14,0.1212,0.5,0.2836,1,153,154,weekdays
55,2011-01-03,Spring,2011,January,9,0,Monday,Clear,0.16,0.1364,0.43,0.3881,7,81,88,weekdays
56,2011-01-03,Spring,2011,January,10,0,Monday,Clear,0.18,0.1667,0.43,0.2537,11,33,44,weekdays
57,2011-01-03,Spring,2011,January,11,0,Monday,Clear,0.2,0.1818,0.4,0.3284,10,41,51,weekdays
58,2011-01-03,Spring,2011,January,12,0,Monday,Clear,0.22,0.2121,0.35,0.2985,13,48,61,weekdays
59,2011-01-03,Spring,2011,January,13,0,Monday,Clear,0.24,0.2121,0.35,0.2836,8,53,61,weekdays
60,2011-01-03,Spring,2011,January,14,0,Monday,Clear,0.26,0.2424,0.3,0.2836,11,66,77,weekdays
61,2011-01-03,Spring,2011,January,15,0,Monday,Clear,0.26,0.2424,0.3,0.2537,14,58,72,weekdays
62,2011-01-03,Spring,2011,January,16,0,Monday,Clear,0.26,0.2424,0.3,0.2537,9,67,76,weekdays
63,2011-01-03,Spring,2011,January,17,0,Monday,Clear,0.24,0.2273,0.3,0.2239,11,146,157,weekdays
64,2011-01-03,Spring,2011,January,18,0,Monday,Clear,0.24,0.2576,0.32,0.1045,9,148,157,weekdays
65,2011-01-03,Spring,2011,January,19,0,Monday,Clear,0.2,0.2576,0.47,0.0,8,102,110,weekdays
66,2011-01-03,Spring,2011,January,20,0,Monday,Clear,0.2,0.2273,0.47,0.1045,3,49,52,weekdays
67,2011-01-03,Spring,2011,January,21,0,Monday,Clear,0.18,0.197,0.64,0.1343,3,49,52,weekdays
68,2011-01-03,Spring,2011,January,22,0,Monday,Clear,0.14,0.1515,0.69,0.1343,0,20,20,weekdays
69,2011-01-03,Spring,2011,January,23,0,Monday,Clear,0.18,0.2121,0.55,0.1045,1,11,12,weekdays
70,2011-01-04,Spring,2011,January,0,0,Tuesday,Clear,0.16,0.1818,0.55,0.1045,0,5,5,weekdays
71,2011-01-04,Spring,2011,January,1,0,Tuesday,Clear,0.16,0.1818,0.59,0.1045,0,2,2,weekdays
72,2011-01-04,Spring,2011,January,2,0,Tuesday,Clear,0.14,0.1515,0.63,0.1343,0,1,1,weekdays
73,2011-01-04,Spring,2011,January,4,0,Tuesday,Clear,0.14,0.1818,0.63,0.0896,0,2,2,weekdays
74,2011-01-04,Spring,2011,January,5,0,Tuesday,Clear,0.12,0.1515,0.68,0.1045,0,4,4,weekdays
75,2011-01-04,Spring,2011,January,6,0,Tuesday,Clear,0.12,0.1515,0.74,0.1045,0,36,36,weekdays
76,2011-01-04,Spring,2011,January,7,0,Tuesday,Clear,0.12,0.1515,0.74,0.1343,2,92,94,weekdays
77,2011-01-04,Spring,2011,January,8,0,Tuesday,Clear,0.14,0.1515,0.69,0.1642,2,177,179,weekdays
78,2011-01-04,Spring,2011,January,9,0,Tuesday,Clear,0.16,0.1515,0.64,0.2239,2,98,100,weekdays
79,2011-01-04,Spring,2011,January,10,0,Tuesday,Mist_Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,weekdays
80,2011-01-04,Spring,2011,January,11,0,Tuesday,Clear,0.22,0.2121,0.51,0.2985,7,50,57,weekdays
81,2011-01-04,Spring,2011,January,12,0,Tuesday,Clear,0.22,0.2273,0.51,0.1642,12,66,78,weekdays
82,2011-01-04,Spring,2011,January,13,0,Tuesday,Clear,0.24,0.2273,0.56,0.194,18,79,97,weekdays
83,2011-01-04,Spring,2011,January,14,0,Tuesday,Clear,0.26,0.2576,0.52,0.2239,9,54,63,weekdays
84,2011-01-04,Spring,2011,January,15,0,Tuesday,Clear,0.28,0.2727,0.52,0.2537,17,48,65,weekdays
85,2011-01-04,Spring,2011,January,16,0,Tuesday,Clear,0.3,0.2879,0.49,0.2537,15,68,83,weekdays
86,2011-01-04,Spring,2011,January,17,0,Tuesday,Clear,0.28,0.2727,0.48,0.2239,10,202,212,weekdays
87,2011-01-04,Spring,2011,January,18,0,Tuesday,Clear,0.26,0.2576,0.48,0.194,3,179,182,weekdays
88,2011-01-04,Spring,2011,January,19,0,Tuesday,Clear,0.24,0.2576,0.48,0.1045,2,110,112,weekdays
89,2011-01-04,Spring,2011,January,20,0,Tuesday,Clear,0.24,0.2576,0.48,0.1045,1,53,54,weekdays
90,2011-01-04,Spring,2011,January,21,0,Tuesday,Clear,0.22,0.2727,0.64,0.0,0,48,48,weekdays
91,2011-01-04,Spring,2011,January,22,0,Tuesday,Clear,0.22,0.2576,0.64,0.0896,1,34,35,weekdays
92,2011-01-04,Spring,2011,January,23,0,Tuesday,Clear,0.2,0.2273,0.69,0.0896,2,9,11,weekdays
93,2011-01-05,Spring,2011,January,0,0,Wednesday,Clear,0.2,0.2576,0.64,0.0,0,6,6,weekdays
94,2011-01-05,Spring,2011,January,1,0,Wednesday,Clear,0.16,0.197,0.74,0.0896,0,6,6,weekdays
95,2011-01-05,Spring,2011,January,2,0,Wednesday,Clear,0.16,0.197,0.74,0.0896,0,2,2,weekdays
96,2011-01-05,Spring,2011,January,4,0,Wednesday,Clear,0.24,0.2273,0.48,0.2239,0,2,2,weekdays
97,2011-01-05,Spring,2011,January,5,0,Wednesday,Clear,0.22,0.2273,0.47,0.1642,0,3,3,weekdays
98,2011-01-05,Spring,2011,January,6,0,Wednesday,Clear,0.2,0.197,0.47,0.2239,0,33,33,weekdays
99,2011-01-05,Spring,2011,January,7,0,Wednesday,Clear,0.18,0.1818,0.43,0.194,1,87,88,weekdays
100,2011-01-05,Spring,2011,January,8,0,Wednesday,Clear,0.2,0.1818,0.4,0.2985,3,192,195,weekdays
101,2011-01-05,Spring,2011,January,9,0,Wednesday,Clear,0.22,0.197,0.37,0.3284,6,109,115,weekdays
102,2011-01-05,Spring,2011,January,10,0,Wednesday,Clear,0.22,0.197,0.37,0.3284,4,53,57,weekdays
103,2011-01-05,Spring,2011,January,11,0,Wednesday,Clear,0.26,0.2273,0.33,0.3284,12,34,46,weekdays
104,2011-01-05,Spring,2011,January,12,0,Wednesday,Clear,0.26,0.2273,0.33,0.3284,5,74,79,weekdays
105,2011-01-05,Spring,2011,January,13,0,Wednesday,Clear,0.28,0.2576,0.3,0.2985,6,65,71,weekdays
106,2011-01-05,Spring,2011,January,14,0,Wednesday,Clear,0.3,0.2879,0.28,0.194,10,52,62,weekdays
107,2011-01-05,Spring,2011,January,15,0,Wednesday,Clear,0.3,0.2879,0.28,0.194,7,55,62,weekdays
108,2011-01-05,Spring,2011,January,16,0,Wednesday,Clear,0.3,0.3182,0.28,0.0896,4,85,89,weekdays
109,2011-01-05,Spring,2011,January,17,0,Wednesday,Clear,0.24,0.2273,0.38,0.194,4,186,190,weekdays
110,2011-01-05,Spring,2011,January,18,0,Wednesday,Clear,0.24,0.2424,0.38,0.1343,3,166,169,weekdays
111,2011-01-05,Spring,2011,January,19,0,Wednesday,Clear,0.24,0.2576,0.38,0.1045,5,127,132,weekdays
112,2011-01-05,Spring,2011,January,20,0,Wednesday,Clear,0.22,0.2273,0.47,0.1642,7,82,89,weekdays
113,2011-01-05,Spring,2011,January,21,0,Wednesday,Clear,0.2,0.197,0.51,0.194,3,40,43,weekdays
114,2011-01-05,Spring,2011,January,22,0,Wednesday,Clear,0.18,0.197,0.55,0.1343,1,41,42,weekdays
115,2011-01-05,Spring,2011,January,23,0,Wednesday,Clear,0.2,0.2576,0.47,0.0,1,18,19,weekdays
116,2011-01-06,Spring,2011,January,0,0,Thursday,Clear,0.18,0.2424,0.55,0.0,0,11,11,weekdays
117,2011-01-06,Spring,2011,January,1,0,Thursday,Clear,0.16,0.2273,0.64,0.0,0,4,4,weekdays
118,2011-01-06,Spring,2011,January,2,0,Thursday,Clear,0.16,0.2273,0.64,0.0,0,2,2,weekdays
119,2011-01-06,Spring,2011,January,4,0,Thursday,Mist_Cloudy,0.16,0.197,0.64,0.0896,0,1,1,weekdays
120,2011-01-06,Spring,2011,January,5,0,Thursday,Mist_Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,weekdays
121,2011-01-06,Spring,2011,January,6,0,Thursday,Mist_Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,weekdays
122,2011-01-06,Spring,2011,January,7,0,Thursday,Mist_Cloudy,0.16,0.2273,0.59,0.0,0,95,95,weekdays
123,2011-01-06,Spring,2011,January,8,0,Thursday,Clear,0.16,0.2273,0.59,0.0,3,216,219,weekdays
124,2011-01-06,Spring,2011,January,9,0,Thursday,Mist_Cloudy,0.18,0.2424,0.51,0.0,6,116,122,weekdays
125,2011-01-06,Spring,2011,January,10,0,Thursday,Clear,0.2,0.2576,0.47,0.0,3,42,45,weekdays
126,2011-01-06,Spring,2011,January,11,0,Thursday,Clear,0.22,0.2576,0.44,0.0896,2,57,59,weekdays
127,2011-01-06,Spring,2011,January,12,0,Thursday,Clear,0.26,0.2879,0.35,0.0,6,78,84,weekdays
128,2011-01-06,Spring,2011,January,13,0,Thursday,Clear,0.26,0.2727,0.35,0.1045,12,55,67,weekdays
129,2011-01-06,Spring,2011,January,14,0,Thursday,Clear,0.28,0.2727,0.36,0.1642,11,59,70,weekdays
130,2011-01-06,Spring,2011,January,15,0,Thursday,Clear,0.28,0.2727,0.36,0.0,8,54,62,weekdays
131,2011-01-06,Spring,2011,January,16,0,Thursday,Clear,0.26,0.2576,0.38,0.1642,12,74,86,weekdays
132,2011-01-06,Spring,2011,January,17,0,Thursday,Clear,0.22,0.2273,0.51,0.1642,9,163,172,weekdays
133,2011-01-06,Spring,2011,January,18,0,Thursday,Clear,0.22,0.2273,0.51,0.1343,5,158,163,weekdays
134,2011-01-06,Spring,2011,January,19,0,Thursday,Clear,0.22,0.2576,0.55,0.0896,3,109,112,weekdays
135,2011-01-06,Spring,2011,January,20,0,Thursday,Clear,0.2,0.2121,0.51,0.1642,3,66,69,weekdays
136,2011-01-06,Spring,2011,January,21,0,Thursday,Mist_Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,weekdays
137,2011-01-06,Spring,2011,January,22,0,Thursday,Mist_Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,weekdays
138,2011-01-06,Spring,2011,January,23,0,Thursday,Mist_Cloudy,0.2,0.197,0.59,0.194,4,19,23,weekdays
139,2011-01-07,Spring,2011,January,0,0,Friday,Mist_Cloudy,0.2,0.197,0.64,0.194,4,13,17,weekdays
140,2011-01-07,Spring,2011,January,1,0,Friday,Mist_Cloudy,0.2,0.197,0.69,0.2239,2,5,7,weekdays
141,2011-01-07,Spring,2011,January,2,0,Friday,Mist_Cloudy,0.2,0.197,0.69,0.2239,0,1,1,weekdays
142,2011-01-07,Spring,2011,January,4,0,Friday,Mist_Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,weekdays
143,2011-01-07,Spring,2011,January,5,0,Friday,Light_Rain,0.22,0.2727,0.55,0.0,0,5,5,weekdays
144,2011-01-07,Spring,2011,January,6,0,Friday,Mist_Cloudy,0.2,0.2576,0.69,0.0,8,26,34,weekdays
145,2011-01-07,Spring,2011,January,7,0,Friday,Clear,0.2,0.2121,0.69,0.1343,8,76,84,weekdays
146,2011-01-07,Spring,2011,January,8,0,Friday,Clear,0.2,0.197,0.51,0.2537,20,190,210,weekdays
147,2011-01-07,Spring,2011,January,9,0,Friday,Clear,0.2,0.1818,0.47,0.2985,9,125,134,weekdays
148,2011-01-07,Spring,2011,January,10,0,Friday,Clear,0.22,0.197,0.37,0.3284,16,47,63,weekdays
149,2011-01-07,Spring,2011,January,11,0,Friday,Mist_Cloudy,0.2,0.197,0.4,0.2239,19,48,67,weekdays
150,2011-01-07,Spring,2011,January,12,0,Friday,Mist_Cloudy,0.2,0.197,0.37,0.2537,9,50,59,weekdays
151,2011-01-07,Spring,2011,January,13,0,Friday,Mist_Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,weekdays
152,2011-01-07,Spring,2011,January,14,0,Friday,Mist_Cloudy,0.2,0.197,0.4,0.2537,7,43,50,weekdays
153,2011-01-07,Spring,2011,January,15,0,Friday,Mist_Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,weekdays
154,2011-01-07,Spring,2011,January,16,0,Friday,Mist_Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,weekdays
155,2011-01-07,Spring,2011,January,17,0,Friday,Mist_Cloudy,0.2,0.2576,0.37,0.0,9,178,187,weekdays
156,2011-01-07,Spring,2011,January,18,0,Friday,Clear,0.2,0.2273,0.4,0.0896,7,116,123,weekdays
157,2011-01-07,Spring,2011,January,19,0,Friday,Clear,0.16,0.197,0.55,0.0896,3,92,95,weekdays
158,2011-01-07,Spring,2011,January,20,0,Friday,Clear,0.18,0.2121,0.47,0.1045,1,50,51,weekdays
159,2011-01-07,Spring,2011,January,21,0,Friday,Clear,0.18,0.197,0.47,0.1343,0,39,39,weekdays
160,2011-01-07,Spring,2011,January,22,0,Friday,Mist_Cloudy,0.18,0.197,0.43,0.1642,2,34,36,weekdays
161,2011-01-07,Spring,2011,January,23,0,Friday,Mist_Cloudy,0.18,0.197,0.51,0.1642,1,14,15,weekdays
162,2011-01-08,Spring,2011,January,0,0,Saturday,Mist_Cloudy,0.18,0.197,0.51,0.1642,1,24,25,weekend
163,2011-01-08,Spring,2011,January,1,0,Saturday,Mist_Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,weekend
164,2011-01-08,Spring,2011,January,2,0,Saturday,Mist_Cloudy,0.18,0.2424,0.55,0.0,3,13,16,weekend
165,2011-01-08,Spring,2011,January,3,0,Saturday,Light_Rain,0.18,0.197,0.55,0.1642,0,7,7,weekend
166,2011-01-08,Spring,2011,January,4,0,Saturday,Light_Rain,0.18,0.197,0.55,0.1642,0,1,1,weekend
167,2011-01-08,Spring,2011,January,5,0,Saturday,Mist_Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,weekend
168,2011-01-08,Spring,2011,January,6,0,Saturday,Mist_Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,weekend
169,2011-01-08,Spring,2011,January,7,0,Saturday,Mist_Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,weekend
170,2011-01-08,Spring,2011,January,8,0,Saturday,Light_Rain,0.16,0.1818,0.93,0.1045,0,15,15,weekend
171,2011-01-08,Spring,2011,January,9,0,Saturday,Light_Rain,0.16,0.1818,0.93,0.1045,0,20,20,weekend
172,2011-01-08,Spring,2011,January,10,0,Saturday,Mist_Cloudy,0.18,0.197,0.8,0.1642,5,56,61,weekend
173,2011-01-08,Spring,2011,January,11,0,Saturday,Mist_Cloudy,0.2,0.1818,0.69,0.3881,2,60,62,weekend
174,2011-01-08,Spring,2011,January,12,0,Saturday,Mist_Cloudy,0.2,0.1818,0.59,0.3582,8,90,98,weekend
175,2011-01-08,Spring,2011,January,13,0,Saturday,Clear,0.2,0.1818,0.44,0.3284,7,95,102,weekend
176,2011-01-08,Spring,2011,January,14,0,Saturday,Clear,0.2,0.1667,0.32,0.4925,12,83,95,weekend
177,2011-01-08,Spring,2011,January,15,0,Saturday,Clear,0.2,0.1667,0.32,0.4478,5,69,74,weekend
178,2011-01-08,Spring,2011,January,16,0,Saturday,Clear,0.18,0.1364,0.29,0.4478,8,68,76,weekend
179,2011-01-08,Spring,2011,January,17,0,Saturday,Clear,0.16,0.1212,0.37,0.5522,5,64,69,weekend
180,2011-01-08,Spring,2011,January,18,0,Saturday,Clear,0.14,0.1212,0.39,0.2985,3,52,55,weekend
181,2011-01-08,Spring,2011,January,19,0,Saturday,Clear,0.14,0.1212,0.36,0.2537,4,26,30,weekend
182,2011-01-08,Spring,2011,January,20,0,Saturday,Clear,0.12,0.1212,0.36,0.2537,0,28,28,weekend
183,2011-01-08,Spring,2011,January,21,0,Saturday,Clear,0.12,0.1061,0.39,0.3582,2,35,37,weekend
184,2011-01-08,Spring,2011,January,22,0,Saturday,Clear,0.12,0.1061,0.36,0.3881,1,33,34,weekend
185,2011-01-08,Spring,2011,January,23,0,Saturday,Clear,0.1,0.0606,0.39,0.4478,0,22,22,weekend
186,2011-01-09,Spring,2011,January,0,0,Sunday,Clear,0.1,0.0758,0.42,0.3881,1,24,25,weekend
187,2011-01-09,Spring,2011,January,1,0,Sunday,Clear,0.1,0.0606,0.42,0.4627,0,12,12,weekend
188,2011-01-09,Spring,2011,January,2,0,Sunday,Clear,0.1,0.0606,0.46,0.4627,0,11,11,weekend
189,2011-01-09,Spring,2011,January,3,0,Sunday,Clear,0.1,0.0758,0.46,0.4179,0,4,4,weekend
190,2011-01-09,Spring,2011,January,4,0,Sunday,Clear,0.08,0.0909,0.53,0.194,0,1,1,weekend
191,2011-01-09,Spring,2011,January,5,0,Sunday,Clear,0.08,0.0909,0.53,0.194,0,1,1,weekend
192,2011-01-09,Spring,2011,January,6,0,Sunday,Clear,0.1,0.0909,0.49,0.2836,0,1,1,weekend
193,2011-01-09,Spring,2011,January,7,0,Sunday,Clear,0.08,0.0909,0.53,0.194,1,5,6,weekend
194,2011-01-09,Spring,2011,January,8,0,Sunday,Clear,0.1,0.0909,0.49,0.2836,0,10,10,weekend
195,2011-01-09,Spring,2011,January,9,0,Sunday,Clear,0.12,0.0758,0.46,0.5224,0,19,19,weekend
196,2011-01-09,Spring,2011,January,10,0,Sunday,Clear,0.14,0.1061,0.43,0.3881,0,49,49,weekend
197,2011-01-09,Spring,2011,January,11,0,Sunday,Clear,0.16,0.1212,0.4,0.5224,2,47,49,weekend
198,2011-01-09,Spring,2011,January,12,0,Sunday,Clear,0.18,0.1364,0.37,0.4478,4,79,83,weekend
199,2011-01-09,Spring,2011,January,13,0,Sunday,Clear,0.2,0.1667,0.34,0.4478,6,69,75,weekend
200,2011-01-09,Spring,2011,January,14,0,Sunday,Clear,0.22,0.1818,0.32,0.4627,8,64,72,weekend
201,2011-01-09,Spring,2011,January,15,0,Sunday,Clear,0.22,0.197,0.35,0.3582,5,77,82,weekend
202,2011-01-09,Spring,2011,January,16,0,Sunday,Clear,0.2,0.1667,0.34,0.4478,13,79,92,weekend
203,2011-01-09,Spring,2011,January,17,0,Sunday,Clear,0.18,0.1515,0.37,0.3881,3,59,62,weekend
204,2011-01-09,Spring,2011,January,18,0,Sunday,Clear,0.16,0.1364,0.4,0.3284,4,44,48,weekend
205,2011-01-09,Spring,2011,January,19,0,Sunday,Clear,0.16,0.1364,0.43,0.3284,1,40,41,weekend
206,2011-01-09,Spring,2011,January,20,0,Sunday,Clear,0.14,0.1212,0.46,0.2537,0,38,38,weekend
207,2011-01-09,Spring,2011,January,21,0,Sunday,Clear,0.14,0.1061,0.46,0.4179,1,19,20,weekend
208,2011-01-09,Spring,2011,January,22,0,Sunday,Clear,0.14,0.1212,0.46,0.2985,5,10,15,weekend
209,2011-01-09,Spring,2011,January,23,0,Sunday,Clear,0.12,0.1364,0.5,0.194,0,6,6,weekend
210,2011-01-10,Spring,2011,January,0,0,Monday,Clear,0.12,0.1212,0.5,0.2836,2,3,5,weekdays
211,2011-01-10,Spring,2011,January,1,0,Monday,Clear,0.12,0.1212,0.5,0.2836,1,0,1,weekdays
212,2011-01-10,Spring,2011,January,2,0,Monday,Clear,0.12,0.1212,0.5,0.2239,0,3,3,weekdays
213,2011-01-10,Spring,2011,January,3,0,Monday,Clear,0.12,0.1212,0.5,0.2239,0,1,1,weekdays
214,2011-01-10,Spring,2011,January,4,0,Monday,Clear,0.1,0.1212,0.54,0.1343,1,2,3,weekdays
215,2011-01-10,Spring,2011,January,5,0,Monday,Clear,0.1,0.1061,0.54,0.2537,0,3,3,weekdays
216,2011-01-10,Spring,2011,January,6,0,Monday,Clear,0.12,0.1212,0.5,0.2836,0,31,31,weekdays
217,2011-01-10,Spring,2011,January,7,0,Monday,Clear,0.12,0.1212,0.5,0.2239,2,75,77,weekdays
218,2011-01-10,Spring,2011,January,8,0,Monday,Mist_Cloudy,0.12,0.1212,0.5,0.2836,4,184,188,weekdays
219,2011-01-10,Spring,2011,January,9,0,Monday,Mist_Cloudy,0.14,0.1212,0.5,0.2537,2,92,94,weekdays
220,2011-01-10,Spring,2011,January,10,0,Monday,Mist_Cloudy,0.14,0.1212,0.5,0.2985,0,31,31,weekdays
221,2011-01-10,Spring,2011,January,11,0,Monday,Mist_Cloudy,0.16,0.1364,0.47,0.2836,2,28,30,weekdays
222,2011-01-10,Spring,2011,January,12,0,Monday,Mist_Cloudy,0.2,0.1818,0.4,0.2836,5,47,52,weekdays
223,2011-01-10,Spring,2011,January,13,0,Monday,Mist_Cloudy,0.2,0.1818,0.4,0.2836,4,50,54,weekdays
224,2011-01-10,Spring,2011,January,14,0,Monday,Mist_Cloudy,0.2,0.197,0.4,0.2239,0,47,47,weekdays
225,2011-01-10,Spring,2011,January,15,0,Monday,Mist_Cloudy,0.2,0.197,0.4,0.2239,2,43,45,weekdays
226,2011-01-10,Spring,2011,January,16,0,Monday,Clear,0.2,0.2121,0.4,0.1343,4,70,74,weekdays
227,2011-01-10,Spring,2011,January,17,0,Monday,Clear,0.2,0.2273,0.4,0.1045,4,174,178,weekdays
